,apt,street,city,state,zipcode,hotrent,amenities,popularity,hottele,hoturl,soundscore,aptrent,apttele,apturl,Population,Density,TotalWages,Wealthy,HouseOfUnits
3873,2192 W 26th Pl Unit 1/2, 2192 W 26th Pl Unit 1/2, Los Angeles, CA,90018,,,,,,71, $1250, 818-485-2162, https://www.apartments.com/2192-w-26th-pl-los-angeles-ca-unit-1-2/kctdgxb/,49310.0,17003.4482759,480700270.0,9748.53518556,16658.0
3874,3026 Passmore Dr, 3026 Passmore Dr, Los Angeles, CA,90068,,,,,,71, $1800, 424-444-3228, https://www.apartments.com/3026-passmore-dr-los-angeles-ca/teldzqb/,22286.0,2924.67191601,763067439.0,34239.7666248,13901.0
3875,7346 Pacific View Dr, 7346 Pacific View Dr, Los Angeles, CA,90068,,,,,,79, $12500, 323-282-5271, https://www.apartments.com/7346-pacific-view-dr-los-angeles-ca/zb8z5nz/,22286.0,2924.67191601,763067439.0,34239.7666248,13901.0
3876,3768 Bagley Ave, 3768 Bagley Ave, Los Angeles, CA,90034,,,,,,60, $2295, 844-668-5782, https://www.apartments.com/3768-bagley-ave-los-angeles-ca/5czhn2q/,57964.0,18637.9421222,1244231596.0,21465.5923677,27210.0
3877,1235 Brockton Ave Unit 301, 1235 Brockton Ave Unit 301, Los Angeles, CA,90025,,,,,,70, $2895, 424-256-0930, https://www.apartments.com/1235-brockton-ave-los-angeles-ca-unit-301/3rh10bg/,42147.0,16399.6108949,,,23058.0
3878,1444 S Saltair Ave Unit 203, 1444 S Saltair Ave Unit 203, Los Angeles, CA,90025,,,,,,68, $2995, 844-464-8993, https://www.apartments.com/1444-s-saltair-ave-los-angeles-ca-unit-203/0dc7ss0/,42147.0,16399.6108949,,,23058.0
3879,2604 Devista Pl, 2604 Devista Pl, Los Angeles, CA,90046,,,,,,82, $11000, 844-375-7004, https://www.apartments.com/2604-devista-pl-los-angeles-ca/g83spfz/,48581.0,8405.01730104,1384367441.0,28496.0672073,30688.0
3880,9614 Heather Rd, 9614 Heather Rd, Beverly Hills, CA,90210,,,,,,77, $8500, 844-575-5374, https://www.apartments.com/9614-heather-rd-beverly-hills-ca/bqfkg2c/,21741.0,2146.1994077,1586883528.0,72990.3651166,9563.0
3881,9524 Highridge Dr, 9524 Highridge Dr, Beverly Hills, CA,90210,,,,,,83, $8400, 844-270-9419, https://www.apartments.com/9524-highridge-dr-beverly-hills-ca/n56qnwm/,21741.0,2146.1994077,1586883528.0,72990.3651166,9563.0
3882,9386 Sierra Mar Dr, 9386 Sierra Mar Dr, West Hollywood, CA,90069,,,,,,80, $9500, 844-602-6212, https://www.apartments.com/9386-sierra-mar-dr-west-hollywood-ca/0ycryx3/,20483.0,9707.58293839,1147697730.0,56031.7204511,14781.0
3883,6930 Woodrow Wilson Dr, 6930 Woodrow Wilson Dr, Los Angeles, CA,90068,,,,,,67, $9999, 844-324-3303, https://www.apartments.com/6930-woodrow-wilson-dr-los-angeles-ca/tbgfhs9/,22286.0,2924.67191601,763067439.0,34239.7666248,13901.0
3884,1616 N Serrano Ave Unit 204, 1616 N Serrano Ave Unit 204, Los Angeles, CA,90027,,,,,,66, $2695, 844-257-7232, https://www.apartments.com/1616-n-serrano-ave-los-angeles-ca-unit-204/8s84n90/,45151.0,5466.22276029,982450409.0,21759.2170495,23390.0
3885,920 Larrabee St, 920 Larrabee St, Los Angeles, CA,90069,,,,,,75, $4000, 844-647-8712, https://www.apartments.com/920-larrabee-st-los-angeles-ca/g0d14sw/,20483.0,9707.58293839,1147697730.0,56031.7204511,14781.0
3886,6119 Fountain Ave, 6119 Fountain Ave, Los Angeles, CA,90028,,,,,,66, $5600, 714-215-9367, https://www.apartments.com/6119-fountain-ave-los-angeles-ca/7tkgtez/,28714.0,18890.7894737,379215740.0,13206.6497179,17126.0
3887,8727 Lookout Mountain Ave, 8727 Lookout Mountain Ave, Los Angeles, CA,90046,,,,,,75, $5750, 844-806-0722, https://www.apartments.com/8727-lookout-mountain-ave-los-angeles-ca/wknsnhj/,48581.0,8405.01730104,1384367441.0,28496.0672073,30688.0
3888,1636 S Spaulding Ave, 1636 S Spaulding Ave, Los Angeles, CA,90019,,,,,,72, $5750, 844-502-2848, https://www.apartments.com/1636-s-spaulding-ave-los-angeles-ca/l8rvrkf/,64458.0,16570.1799486,871676252.0,13523.1662788,25116.0
3889,146 S Detroit St, 146 S Detroit St, Los Angeles, CA,90036,,,,,,67, $5350, 844-517-9565, https://www.apartments.com/146-s-detroit-st-los-angeles-ca/wfg2gkj/,36865.0,14925.1012146,1069043429.0,28998.872345,19920.0
3890,3021 Haddington Dr, 3021 Haddington Dr, Los Angeles, CA,90064,,,,,,71, $9000, 844-822-8131, https://www.apartments.com/3021-haddington-dr-los-angeles-ca/ryt91w3/,25403.0,6350.75,1105519048.0,43519.2319017,11540.0
3891,14723 W Sunset Blvd, 14723 W Sunset Blvd, Pacific Palisades, CA,90272,,,,,,94, $9750, 844-771-8994, https://www.apartments.com/14723-w-sunset-blvd-pacific-palisades-ca/l7cfgnd/,22986.0,1006.83311432,1750979831.0,76175.9258244,9815.0
3892,6121 Fountain Ave, 6121 Fountain Ave, Los Angeles, CA,90028,,,,,,68, $5500, 844-445-4984, https://www.apartments.com/6121-fountain-ave-los-angeles-ca/t2k8k29/,28714.0,18890.7894737,379215740.0,13206.6497179,17126.0
3893,8745 Lookout Mountain Ave, 8745 Lookout Mountain Ave, Los Angeles, CA,90046,,,,,,75, $7500, 844-475-8307, https://www.apartments.com/8745-lookout-mountain-ave-los-angeles-ca/99t0wj6/,48581.0,8405.01730104,1384367441.0,28496.0672073,30688.0
3894,940 Stradella Rd, 940 Stradella Rd, Los Angeles, CA,90077,,,,,,84, $8500, 844-211-7041, https://www.apartments.com/940-stradella-rd-los-angeles-ca/jj4g497/,9377.0,1279.2633015,623152506.0,66455.423483,3888.0
3895,3235 Hillock Dr, 3235 Hillock Dr, Los Angeles, CA,90068,,,,,,71, $6900, 855-331-4605, https://www.apartments.com/3235-hillock-dr-los-angeles-ca/ztyhnpz/,22286.0,2924.67191601,763067439.0,34239.7666248,13901.0
3896,746 N Sycamore Ave, 746 N Sycamore Ave, Los Angeles, CA,90038,,,,,,69, $4900, 855-717-7838, https://www.apartments.com/746-n-sycamore-ave-los-angeles-ca/qnh70yy/,28917.0,18418.4713376,330114199.0,11415.9213957,12812.0
3897,318 S Orange Dr, 318 S Orange Dr, Los Angeles, CA,90036,,,,,,70, $4200, 844-892-3677, https://www.apartments.com/318-s-orange-dr-los-angeles-ca/498f4ej/,36865.0,14925.1012146,1069043429.0,28998.872345,19920.0
3898,507 Norwich Dr, 507 Norwich Dr, Los Angeles, CA,90048,,,,,,69, $7850, 844-442-3864, https://www.apartments.com/507-norwich-dr-los-angeles-ca/skxcs46/,21397.0,11321.1640212,753464171.0,35213.5425994,12939.0
3899,943 Chantilly Rd, 943 Chantilly Rd, Los Angeles, CA,90077,,,,,,83, $15500, 844-855-0875, https://www.apartments.com/943-chantilly-rd-los-angeles-ca/yr5n0cv/,9377.0,1279.2633015,623152506.0,66455.423483,3888.0
3900,2120 Outpost Dr, 2120 Outpost Dr, Los Angeles, CA,90068,,,,,,79, $7900, 844-885-2862, https://www.apartments.com/2120-outpost-dr-los-angeles-ca/xh1f6nn/,22286.0,2924.67191601,763067439.0,34239.7666248,13901.0
3901,8855 Appian Way, 8855 Appian Way, Los Angeles, CA,90046,,,,,,80, $5750, 844-209-3695, https://www.apartments.com/8855-appian-way-los-angeles-ca/zvyjttz/,48581.0,8405.01730104,1384367441.0,28496.0672073,30688.0
3902,8040 Okean Ter, 8040 Okean Ter, Los Angeles, CA,90046,,,,,,76, $15000, 844-486-9156, https://www.apartments.com/8040-okean-ter-los-angeles-ca/6b2zjlv/,48581.0,8405.01730104,1384367441.0,28496.0672073,30688.0
3903,1255 Sierra Alta Way, 1255 Sierra Alta Way, Los Angeles, CA,90069,,,,,,79, $17000, 866-635-1726, https://www.apartments.com/1255-sierra-alta-way-los-angeles-ca/rden2p3/,20483.0,9707.58293839,1147697730.0,56031.7204511,14781.0
3904,637 N Gardner St, 637 N Gardner St, Los Angeles, CA,90036,,,,,,71, $16999, 844-836-5966, https://www.apartments.com/637-n-gardner-st-los-angeles-ca/0nlt6m1/,36865.0,14925.1012146,1069043429.0,28998.872345,19920.0
3905,6531 Drexel Ave, 6531 Drexel Ave, Los Angeles, CA,90048,,,,,,71, $7980, 844-291-1061, https://www.apartments.com/6531-drexel-ave-los-angeles-ca/fxf3qyr/,21397.0,11321.1640212,753464171.0,35213.5425994,12939.0
3906,1318 Roxbury Dr Unit 116, 1318 Roxbury Dr Unit 116, Los Angeles, CA,90035,,,,,,70, $6000, 844-627-5686, https://www.apartments.com/1318-roxbury-dr-los-angeles-ca-unit-116/re2y1z0/,28418.0,13795.1456311,708020742.0,24914.5169259,14030.0
3907,183 S Detroit St, 183 S Detroit St, Los Angeles, CA,90036,,,,,,67, $5495, 844-381-6640, https://www.apartments.com/183-s-detroit-st-los-angeles-ca/ss56734/,36865.0,14925.1012146,1069043429.0,28998.872345,19920.0
3908,8454 Kirkwood Dr, 8454 Kirkwood Dr, Los Angeles, CA,90046,,,,,,76, $4800, 844-741-6004, https://www.apartments.com/8454-kirkwood-dr-los-angeles-ca/sblqle4/,48581.0,8405.01730104,1384367441.0,28496.0672073,30688.0
3909,8148 Mulholland Ter, 8148 Mulholland Ter, Los Angeles, CA,90046,,,,,,74, $8500, 844-230-5850, https://www.apartments.com/8148-mulholland-ter-los-angeles-ca/efhfekp/,48581.0,8405.01730104,1384367441.0,28496.0672073,30688.0
3910,1900 Vine St Unit 216, 1900 Vine St Unit 216, Los Angeles, CA,90068,,,,,,63, $3550, 866-421-4503, https://www.apartments.com/1900-vine-st-los-angeles-ca-unit-216/165p8b4/,22286.0,2924.67191601,763067439.0,34239.7666248,13901.0
3911,9230 Nightingale Dr, 9230 Nightingale Dr, Los Angeles, CA,90069,,,,,,79, $20000, 844-729-9918, https://www.apartments.com/9230-nightingale-dr-los-angeles-ca/mvw02vj/,20483.0,9707.58293839,1147697730.0,56031.7204511,14781.0
3912,Hampshire Place, 501 S New Hampshire Ave, Los Angeles, CA,90020,,,,,,66, $1671 - 2658, 877-592-9825, https://www.apartments.com/hampshire-place-los-angeles-ca/dr58z7k/,38967.0,34484.0707965,526453188.0,13510.2314266,17900.0
3913,Topaz, 550 S Main St, Los Angeles, CA,90013,,,,,,63, $1785 - 4280, 424-320-5291, https://www.apartments.com/topaz-los-angeles-ca/be62jc9/,11772.0,17570.1492537,115494378.0,9810.9393476,7516.0
3914,Next on Sixth, 620 S Virgil, Los Angeles, CA,90005,,,,,,65, $1975 - 3680, 323-800-5550, https://www.apartments.com/next-on-sixth-los-angeles-ca/dssq25j/,37681.0,34889.8148148,369162475.0,9797.04559327,16345.0
3915,Watermarke Tower, 705 W 9th St, Los Angeles, CA,90015,,,,,,65, $2955 - 12949, 866-974-8610, https://www.apartments.com/watermarke-tower-los-angeles-ca/j0tcqf4/,18986.0,11102.9239766,196952937.0,10373.5877489,8245.0
3916,AXIS, 1200 S Broadway, Los Angeles, CA,90015,,,,,,68, $1972 - 3572, 844-633-4135, https://www.apartments.com/axis-los-angeles-ca/nhxmcjq/,18986.0,11102.9239766,196952937.0,10373.5877489,8245.0
3917,Promenade Towers, 123 S Figueroa St, Los Angeles, CA,90012,,,,,,65, $1571 - 2413, 855-540-8832, https://www.apartments.com/promenade-towers-los-angeles-ca/1ppnmg4/,31103.0,9629.41176471,288859252.0,9287.1829727,11370.0
3918,255 Grand, 255 S Grand Ave, Los Angeles, CA,90012,,,,,,64, $1832 - 5012, 888-708-8794, https://www.apartments.com/255-grand-los-angeles-ca/ew3hkhq/,31103.0,9629.41176471,288859252.0,9287.1829727,11370.0
3919,Roosevelt Lofts, 727 W 7th St, Los Angeles, CA,90017,,,,,,60, $2390 - 8500, 844-850-7472, https://www.apartments.com/roosevelt-lofts-los-angeles-ca/y3s9wvt/,23768.0,32558.9041096,229419093.0,9652.43575395,10610.0
3920,APEX. The One., 900 S Figueroa St, Los Angeles, CA,90015,,,,,,65, $2680 - 10030, 844-550-8619, https://www.apartments.com/apex-the-one-los-angeles-ca/4jdf8dl/,18986.0,11102.9239766,196952937.0,10373.5877489,8245.0
3921,Stoa, 222 S Main St, Los Angeles, CA,90012,,,,,,67, $2060 - 5425, 844-424-4050, https://www.apartments.com/stoa-los-angeles-ca/np0cwsp/,31103.0,9629.41176471,288859252.0,9287.1829727,11370.0
3922,OLiVE DTLA, 1213-1237 S Olive St, Los Angeles, CA,90015,,,,,,68, $1940 - 7056, 844-757-9558, https://www.apartments.com/olive-dtla-los-angeles-ca/rgrexc3/,18986.0,11102.9239766,196952937.0,10373.5877489,8245.0
3923,3033 Wilshire, 3033 Wilshire Blvd, Los Angeles, CA,90010,,,,,,63, $2445 - 16784, 844-666-0615, https://www.apartments.com/3033-wilshire-los-angeles-ca/gzgnzfx/,3800.0,8260.86956522,122651252.0,32276.6452632,2382.0
3924,Canvas L.A., 138 N Beaudry Ave, Los Angeles, CA,90012,,,,,,60, $1819 - 6389, 877-522-8339, https://www.apartments.com/canvas-la-los-angeles-ca/rqxgnp1/,31103.0,9629.41176471,288859252.0,9287.1829727,11370.0
3925,The Piero, 609 St Paul Ave, Los Angeles, CA,90017,,,,,,58, $1975 - 4344, 844-810-5513, https://www.apartments.com/the-piero-los-angeles-ca/13pkvp6/,23768.0,32558.9041096,229419093.0,9652.43575395,10610.0
3926,Blackstone Luxury Apartments, 901 S Broadway, Los Angeles, CA,90015,,,,,,64, $3400, 844-269-3940, https://www.apartments.com/blackstone-luxury-apartments-los-angeles-ca/e4d3ssq/,18986.0,11102.9239766,196952937.0,10373.5877489,8245.0
3927,The Griffith, 2915 Los Feliz Blvd, Los Angeles, CA,90039,,,,,,70, $2099 - 4235, 855-559-8509, https://www.apartments.com/the-griffith-los-angeles-ca/qj1cvkw/,28514.0,7563.39522546,645960187.0,22654.1413692,12127.0
3928,Wilshire Vermont, 3183 Wilshire Blvd, Los Angeles, CA,90010,,,,,,63, $1838 - 3022, 213-985-0676, https://www.apartments.com/wilshire-vermont-los-angeles-ca/1kzq096/,3800.0,8260.86956522,122651252.0,32276.6452632,2382.0
3929,City Lights on Fig, 1300 S Figueroa St, Los Angeles, CA,90015,,,,,,65, $1838 - 2915, 844-790-8918, https://www.apartments.com/city-lights-on-fig-los-angeles-ca/hy12ks0/,18986.0,11102.9239766,196952937.0,10373.5877489,8245.0
3930,Rampart Village Lofts, 603 S Rampart Blvd, Los Angeles, CA,90057,,,,,,65, $1345 - 2775, 844-320-3652, https://www.apartments.com/rampart-village-lofts-los-angeles-ca/ztq9b2y/,44998.0,50559.5505618,278373802.0,6186.3594382,17247.0
3931,Hellman Building, 411 S Main St, Los Angeles, CA,90013,,,,,,64, $1800 - 2250, 844-451-3752, https://www.apartments.com/hellman-building-los-angeles-ca/hd7eq40/,11772.0,17570.1492537,115494378.0,9810.9393476,7516.0
3932,TENTEN WILSHIRE - All Inclusive Living, 1010 Wilshire Blvd, Los Angeles, CA,90017,,,,,,57, $2900 - 9400, 877-280-6446, https://www.apartments.com/tenten-wilshire-all-inclusive-living-los-angeles-ca/337dtrf/,23768.0,32558.9041096,229419093.0,9652.43575395,10610.0
3933,422 South Lake Street, 422 S Lake St, Los Angeles, CA,90057,,,,,,67, $1800 - 2975, 213-481-6179, https://www.apartments.com/422-south-lake-street-los-angeles-ca/ds3x4vh/,44998.0,50559.5505618,278373802.0,6186.3594382,17247.0
3934,Oakwood - Olympic & Olive, 1001 S Olive St, Los Angeles, CA,90015,,,,,,64, $2251 - 2999, 844-462-7968, https://www.apartments.com/oakwood-olympic-olive-los-angeles-ca/8pm7sc0/,18986.0,11102.9239766,196952937.0,10373.5877489,8245.0
3935,East View, 327 N Boylston St, Los Angeles, CA,90012,,,,,,66, $1995 - 4895, 424-269-6177, https://www.apartments.com/east-view-los-angeles-ca/rkp1he0/,31103.0,9629.41176471,288859252.0,9287.1829727,11370.0
3936,Pegasus, 612 S Flower St, Los Angeles, CA,90017,,,,,,61, $1787 - 3229, 844-815-3697, https://www.apartments.com/pegasus-los-angeles-ca/hdpmn63/,23768.0,32558.9041096,229419093.0,9652.43575395,10610.0
3937,Radius Koreatown, 680 S Berendo St, Los Angeles, CA,90005,,,,,,66, $1845 - 2348, 844-403-2805, https://www.apartments.com/radius-koreatown-los-angeles-ca/sy1sy95/,37681.0,34889.8148148,369162475.0,9797.04559327,16345.0
3938,Packard Lofts, 1000 S Hope St, Los Angeles, CA,90015,,,,,,65, $2034 - 6500, 866-872-2616, https://www.apartments.com/packard-lofts-los-angeles-ca/h7zx613/,18986.0,11102.9239766,196952937.0,10373.5877489,8245.0
3939,Blossom Plaza, 900 N Broadway, Los Angeles, CA,90012,,,,,,65, $1773 - 4954, 844-265-9154, https://www.apartments.com/blossom-plaza-los-angeles-ca/g5slbzx/,31103.0,9629.41176471,288859252.0,9287.1829727,11370.0
3940,Museum Tower, 225 S Olive St, Los Angeles, CA,90012,,,,,,67, $1808 - 8815, 844-295-8164, https://www.apartments.com/museum-tower-los-angeles-ca/mmex9pl/,31103.0,9629.41176471,288859252.0,9287.1829727,11370.0
3941,The Met, 950 S Flower St, Los Angeles, CA,90015,,,,,,65, $1579 - 4355, 855-543-9014, https://www.apartments.com/the-met-los-angeles-ca/02em8r1/,18986.0,11102.9239766,196952937.0,10373.5877489,8245.0
3942,Metro 417, 417 S Hill St, Los Angeles, CA,90013,,,,,,65, $1855 - 6035, 844-698-1615, https://www.apartments.com/metro-417-los-angeles-ca/l1qysxg/,11772.0,17570.1492537,115494378.0,9810.9393476,7516.0
3943,E on Grand, 1249 S Grand Ave, Los Angeles, CA,90015,,,,,,67, $1900 - 3695, 844-503-8885, https://www.apartments.com/e-on-grand-los-angeles-ca/vg3jzxe/,18986.0,11102.9239766,196952937.0,10373.5877489,8245.0
3944,Skyline Terrace, 930 Figueroa Ter, Los Angeles, CA,90012,,,,,,66, $1899 - 2927, 844-219-1548, https://www.apartments.com/skyline-terrace-los-angeles-ca/9qj6hn6/,31103.0,9629.41176471,288859252.0,9287.1829727,11370.0
3945,LP by CLG, 349 S La Fayette Park Pl, Los Angeles, CA,90057,,,,,,69, $1850 - 2150, 844-409-2531, https://www.apartments.com/lp-by-clg-los-angeles-ca/b634psc/,44998.0,50559.5505618,278373802.0,6186.3594382,17247.0
3946,8th & Grand, 770 S Grand Ave, Los Angeles, CA,90014,,,,,,65, $2132 - 5982, 888-860-7414, https://www.apartments.com/8th-grand-los-angeles-ca/yescr5t/,7005.0,25017.8571429,91984035.0,13131.1970021,4990.0
3947,Westmore on Wilshire, 3075 Wilshire Blvd, Los Angeles, CA,90010,,,,,,63, $1900 - 2900, 213-674-4549, https://www.apartments.com/westmore-on-wilshire-los-angeles-ca/64jzv7s/,3800.0,8260.86956522,122651252.0,32276.6452632,2382.0
3948,The Chapman Flats, 756 S Broadway, Los Angeles, CA,90014,,,,,,65, $2150 - 2200, 424-244-3137, https://www.apartments.com/the-chapman-flats-los-angeles-ca/mj6v3bh/,7005.0,25017.8571429,91984035.0,13131.1970021,4990.0
3949,Plaza at Lafayette Luxury Apartments, 401 S La Fayette Park Pl, Los Angeles, CA,90057,,,,,,69, $2250 - 2375, 844-897-6841, https://www.apartments.com/plaza-at-lafayette-luxury-apartments-los-angeles-ca/96v2137/,44998.0,50559.5505618,278373802.0,6186.3594382,17247.0
3950,Tuscany Apartments FURNISHED LIVING, 3700-3782 S Figueroa St, Los Angeles, CA,90007,,,,,,61, $1920 - 3040, 844-462-5737, https://www.apartments.com/tuscany-apartments-furnished-living-los-angeles-ca/w0tt0rj/,40920.0,16566.8016194,262370773.0,6411.79797165,12762.0
3951,The Broadway Lofts, 430 S Broadway, Los Angeles, CA,90013,,,,,,65, $1600 - 2500, 844-278-4293, https://www.apartments.com/the-broadway-lofts-los-angeles-ca/22zzxhb/,11772.0,17570.1492537,115494378.0,9810.9393476,7516.0
3952,Mozaic at Union Station, 888 N Alameda St, Los Angeles, CA,90012,,,,,,68, $2029 - 2937, 855-412-2780, https://www.apartments.com/mozaic-at-union-station-los-angeles-ca/rb7ne43/,31103.0,9629.41176471,288859252.0,9287.1829727,11370.0
3953,Glo, 1050 Wilshire Blvd, Los Angeles, CA,90017,,,,,,62, $2114 - 3782, 844-625-6316, https://www.apartments.com/glo-los-angeles-ca/g9l29py/,23768.0,32558.9041096,229419093.0,9652.43575395,10610.0
3954,Virgil Square, 411 S Virgil Ave, Los Angeles, CA,90020,,,,,,64, $1632 - 2582, 844-264-8546, https://www.apartments.com/virgil-square-los-angeles-ca/4nw11pl/,38967.0,34484.0707965,526453188.0,13510.2314266,17900.0
3955,Belmont Station, 1304 W 2nd St, Los Angeles, CA,90026,,,,,,68, $1792 - 2634, 844-331-0655, https://www.apartments.com/belmont-station-los-angeles-ca/8fn5980/,67869.0,16044.6808511,954653353.0,14066.1178594,26686.0
3956,Windsor Court, 900 S Irolo St, Los Angeles, CA,90006,,,,,,67, $1648 - 2286, 844-674-5176, https://www.apartments.com/windsor-court-los-angeles-ca/4r2tsek/,59185.0,30825.5208333,398768368.0,6737.65933936,20332.0
3957,Santee Court, 716-718 S Los Angeles St, Los Angeles, CA,90014,,,,,,65, $2045 - 3083, 844-793-4336, https://www.apartments.com/santee-court-los-angeles-ca/g88ldxw/,7005.0,25017.8571429,91984035.0,13131.1970021,4990.0
3958,Park Catalina, 690 S Catalina St, Los Angeles, CA,90005,,,,,,68, $2223 - 2620, 844-801-4355, https://www.apartments.com/park-catalina-los-angeles-ca/n8kpqrn/,37681.0,34889.8148148,369162475.0,9797.04559327,16345.0
3959,Gas Company Lofts, 810 S Flower St, Los Angeles, CA,90017,,,,,,64, $2165 - 3591, 844-294-5675, https://www.apartments.com/gas-company-lofts-los-angeles-ca/3ygw8sd/,23768.0,32558.9041096,229419093.0,9652.43575395,10610.0
3960,PE Lofts, 610 S Main St, Los Angeles, CA,90014,,,,,,65, $1904 - 3408, 844-817-1880, https://www.apartments.com/pe-lofts-los-angeles-ca/8lkdep3/,7005.0,25017.8571429,91984035.0,13131.1970021,4990.0
3961,Bunker Hill Towers, 234 S Figueroa St, Los Angeles, CA,90012,,,,,,65, $1958 - 3068, 844-828-6452, https://www.apartments.com/bunker-hill-towers-los-angeles-ca/yv5rx8s/,31103.0,9629.41176471,288859252.0,9287.1829727,11370.0
3962,8th and Hope, 801 S Hope St, Los Angeles, CA,90017,,,,,,66, $2911 - 5141, 213-599-7247, https://www.apartments.com/8th-and-hope-los-angeles-ca/spddm74/,23768.0,32558.9041096,229419093.0,9652.43575395,10610.0
3963,Catalina Gardens, 333 S Catalina St, Los Angeles, CA,90020,,,,,,67, $1830 - 2695, 844-807-4845, https://www.apartments.com/catalina-gardens-los-angeles-ca/6mc6c6s/,38967.0,34484.0707965,526453188.0,13510.2314266,17900.0
3964,One Santa Fe Residential, 300 S Santa Fe Ave, Los Angeles, CA,90013,,,,,,70, $1945 - 5113, 424-500-8045, https://www.apartments.com/one-santa-fe-residential-los-angeles-ca/4q9v7cl/,11772.0,17570.1492537,115494378.0,9810.9393476,7516.0
3965,Avenue 64 Apartments, 117 S Avenue 64, Los Angeles, CA,90042,,,,,,66, $1765 - 2250, 844-851-2365, https://www.apartments.com/avenue-64-apartments-los-angeles-ca/1fgp8m5/,62430.0,13454.7413793,851843674.0,13644.7809387,21018.0
3966,Del Mor Apartments, 1541-1559 Echo Park Ave, Los Angeles, CA,90026,,,,,,72, $2155, 844-833-4264, https://www.apartments.com/del-mor-apartments-los-angeles-ca/4ymksdj/,67869.0,16044.6808511,954653353.0,14066.1178594,26686.0
3967,Wilshire Royale, 2619 Wilshire Blvd, Los Angeles, CA,90057,,,,,,64, $1430 - 2140, 657-622-0563, https://www.apartments.com/wilshire-royale-los-angeles-ca/p43ch9s/,44998.0,50559.5505618,278373802.0,6186.3594382,17247.0
3968,Pasadena Park Place, 101 Bridewell St, Los Angeles, CA,90042,,,,,,63, $1447 - 2025, 866-930-8289, https://www.apartments.com/pasadena-park-place-los-angeles-ca/mp37ebk/,62430.0,13454.7413793,851843674.0,13644.7809387,21018.0
3969,The Garey Building, 905 E 2nd St, Los Angeles, CA,90012,,,,,,69, $2108 - 4356, 844-445-8702, https://www.apartments.com/the-garey-building-los-angeles-ca/rqdqd22/,31103.0,9629.41176471,288859252.0,9287.1829727,11370.0
3970,eaves Los Feliz, 3100 Riverside Dr, Los Angeles, CA,90027,,,,,,66, $1865 - 2737, 864-349-5996, https://www.apartments.com/eaves-los-feliz-los-angeles-ca/h6j5rw0/,45151.0,5466.22276029,982450409.0,21759.2170495,23390.0
3971,Brownstone Lofts, 1168 Bellevue Ave, Los Angeles, CA,90012,,,,,,61, $1650 - 3300, 844-782-6258, https://www.apartments.com/brownstone-lofts-los-angeles-ca/e3st5nn/,31103.0,9629.41176471,288859252.0,9287.1829727,11370.0
3972,Great Republic Lofts Apartments, 756 S Spring St, Los Angeles, CA,90014,,,,,,65, $2350 - 2730, 213-536-0586, https://www.apartments.com/great-republic-lofts-apartments-los-angeles-ca/nyj27cp/,7005.0,25017.8571429,91984035.0,13131.1970021,4990.0
3973,The Abbey, 3550 W 6th St, Los Angeles, CA,90005,,,,,,65, $2135 - 3000, 844-825-4899, https://www.apartments.com/the-abbey-los-angeles-ca/tszh6fc/,37681.0,34889.8148148,369162475.0,9797.04559327,16345.0
3974,New Hampshire Terrace, 864 S New Hampshire, Los Angeles, CA,90005,,,,,,63, $1695 - 3095, 844-214-3578, https://www.apartments.com/new-hampshire-terrace-los-angeles-ca/pkjbnyr/,37681.0,34889.8148148,369162475.0,9797.04559327,16345.0
3975,Mariposa Gardens, 533 N Mariposa Ave, Los Angeles, CA,90004,,,,,,65, $1825, 844-262-5661, https://www.apartments.com/mariposa-gardens-los-angeles-ca/cv7lf8d/,62180.0,20386.8852459,891085777.0,14330.7458508,24278.0
3976,Nob Hill Towers - Los Angeles, 2430 Ocean View Ave, Los Angeles, CA,90057,,,,,,69, $1475 - 2150, 844-507-4359, https://www.apartments.com/nob-hill-towers-los-angeles-los-angeles-ca/bcl1xf8/,44998.0,50559.5505618,278373802.0,6186.3594382,17247.0
3977,Title Guarantee Lofts, 411 W 5th St, Los Angeles, CA,90013,,,,,,63, $2098, 844-229-3693, https://www.apartments.com/title-guarantee-lofts-los-angeles-ca/jltjbv6/,11772.0,17570.1492537,115494378.0,9810.9393476,7516.0
3978,1939 N Kenmore Ave, 1939 N Kenmore Ave, Los Angeles, CA,90027,,,,,,72, Call for Rent, 844-221-8080, https://www.apartments.com/1939-n-kenmore-ave-los-angeles-ca/7lp3jnw/,45151.0,5466.22276029,982450409.0,21759.2170495,23390.0
3979,The Eleanor Apartments, 412 S Lake St, Los Angeles, CA,90057,,,,,,67, $1550 - 1600, 323-330-4374, https://www.apartments.com/the-eleanor-apartments-los-angeles-ca/1jzxhl7/,44998.0,50559.5505618,278373802.0,6186.3594382,17247.0
3980,Ellendale Apartments - Student Living, 2652-2656 Ellendale Pl, Los Angeles, CA,90007,,,,,,69, $750 - 3200, 424-289-6695, https://www.apartments.com/ellendale-apartments-student-living-los-angeles-ca/y1vhtrr/,40920.0,16566.8016194,262370773.0,6411.79797165,12762.0
3981,Lakeview Apartments, 500 S Lake St, Los Angeles, CA,90057,,,,,,67, $1550 - 1950, 844-283-5804, https://www.apartments.com/lakeview-apartments-los-angeles-ca/mjtlgel/,44998.0,50559.5505618,278373802.0,6186.3594382,17247.0
