id, apt, street, city, state, zipcode, soundscore, rent, tele, url
433, 4029 Oakwood Ave, 4029 Oakwood Ave, Los Angeles, CA, 90004, 64, $1495, 844-664-3372, https://www.apartments.com/4029-oakwood-ave-los-angeles-ca/nk5bb0q/
434, 15215 Friends St, 15215 Friends St, Pacific Palisades, CA, 90272, 77, $10000, 877-780-0289, https://www.apartments.com/15215-friends-st-pacific-palisades-ca/kc094s8/
435, 16827 Livorno Dr, 16827 Livorno Dr, Pacific Palisades, CA, 90272, 72, $15000, 855-275-4351, https://www.apartments.com/16827-livorno-dr-pacific-palisades-ca/rqy71p1/
436, 9222 Flicker Way, 9222 Flicker Way, Los Angeles, CA, 90069, 77, $15000, 844-812-6262, https://www.apartments.com/9222-flicker-way-los-angeles-ca/fet1lmr/
437, 5008 3rd Ave, 5008 3rd Ave, Los Angeles, CA, 90043, 72, $800, 657-230-2490, https://www.apartments.com/5008-3rd-ave-los-angeles-ca/93el9t7/
438, 4428 S Victoria Ave Unit 4428, 4428 S Victoria Ave Unit 4428, Los Angeles, CA, 90008, -, $2000, 844-872-1508, https://www.apartments.com/4428-s-victoria-ave-los-angeles-ca-unit-4428/phyd9ds/
439, 15516 Sunset Blvd Unit 305, 15516 Sunset Blvd Unit 305, Los Angeles, CA, 90272, 68, $2799, 424-610-4660, https://www.apartments.com/15516-sunset-blvd-los-angeles-ca-unit-305/5xkmeeq/
440, 15516 W Sunset Blvd Unit 105, 15516 W Sunset Blvd Unit 105, Pacific Palisades, CA, 90272, 68, $2699, 844-433-5962, https://www.apartments.com/15516-w-sunset-blvd-pacific-palisades-ca-unit-105/evby3qq/
441, 2926 Dalton Ave, 2926 Dalton Ave, Los Angeles, CA, 90018, 74, $3950, 424-316-5048, https://www.apartments.com/2926-dalton-ave-los-angeles-ca/zr35wmz/
442, 6250 W Olympic Blvd, 6250 W Olympic Blvd, Los Angeles, CA, 90048, 71, $4695, 323-391-2067, https://www.apartments.com/6250-w-olympic-blvd-los-angeles-ca/vphbgxf/
443, 1406 Exposition Blvd, 1406 Exposition Blvd, Los Angeles, CA, 90018, 70, $2450, 844-624-3103, https://www.apartments.com/1406-exposition-blvd-los-angeles-ca/2rgy77b/
444, 1619 N La Brea Ave Unit 228, 1619 N La Brea Ave Unit 228, Los Angeles, CA, 90028, 66, $4155, 844-532-9948, https://www.apartments.com/1619-n-la-brea-ave-los-angeles-ca-unit-228/f9svkgt/
445, 702 S St Andrews Pl Unit 3, 702 S St Andrews Pl Unit 3, Los Angeles, CA, 90005, 67, $1795, 323-473-5569, https://www.apartments.com/702-s-st-andrews-pl-los-angeles-ca-unit-3/4ejl4dh/
446, 901 Levering Ave Unit 15, 901 Levering Ave Unit 15, Los Angeles, CA, 90024, 67, $1300, 844-256-4974, https://www.apartments.com/901-levering-ave-los-angeles-ca-unit-15/fqv0kbv/
447, 11135 Greenlawn Ave, 11135 Greenlawn Ave, Culver City, CA, 90230, 70, $4750, 844-215-1430, https://www.apartments.com/11135-greenlawn-ave-culver-city-ca/9ljsgp4/
448, 5965 Guthrie Ave Unit 2, 5965 Guthrie Ave Unit 2, Los Angeles, CA, 90034, 68, $2100, 844-847-8403, https://www.apartments.com/5965-guthrie-ave-los-angeles-ca-unit-2/sws5yk7/
449, 3631 Dixie Canyon Pl, 3631 Dixie Canyon Pl, Sherman Oaks, CA, 91423, 85, $9000, 844-477-6460, https://www.apartments.com/3631-dixie-canyon-pl-sherman-oaks-ca/fdjq6er/
450, 3581 Avenida Del Sol, 3581 Avenida Del Sol, Los Angeles, CA, 91604, 79, $5500, 657-325-0284, https://www.apartments.com/3581-avenida-del-sol-los-angeles-ca/gt49tny/
451, 130 N Sycamore Ave Unit 130, 130 N Sycamore Ave Unit 130, Los Angeles, CA, 90036, 69, $3300, 909-543-4178, https://www.apartments.com/130-n-sycamore-ave-los-angeles-ca-unit-130/pr9kr2r/
452, 5643 Carlton Way, 5643 Carlton Way, Los Angeles, CA, 90028, 64, $2095, 888-563-5994, https://www.apartments.com/5643-carlton-way-los-angeles-ca/k6g3hc8/
453, 3254 Barham Blvd, 3254 Barham Blvd, Los Angeles, CA, 90068, 67, $3000, 888-834-9457, https://www.apartments.com/3254-barham-blvd-los-angeles-ca/vngch3d/
454, 3260 Barham Blvd, 3260 Barham Blvd, Los Angeles, CA, 90068, 67, $2200, 844-859-3632, https://www.apartments.com/3260-barham-blvd-los-angeles-ca/vjzcm3g/
455, 818 Gretna Green Way, 818 Gretna Green Way, Los Angeles, CA, 90049, 71, $3400, 424-260-4073, https://www.apartments.com/818-gretna-green-way-los-angeles-ca/j1qvrg6/
456, 8017 Selma Ave Unit 301, 8017 Selma Ave Unit 301, Los Angeles, CA, 90046, 70, $6550, 323-618-1753, https://www.apartments.com/8017-selma-ave-los-angeles-ca-unit-301/jt3yzj4/
457, 1624 Federal Ave Unit 6, 1624 Federal Ave Unit 6, Los Angeles, CA, 90025, 67, $2095, 424-341-6141, https://www.apartments.com/1624-federal-ave-los-angeles-ca-unit-6/hedy1b3/
458, 3747 Mentone Ave Unit 4, 3747 Mentone Ave Unit 4, Los Angeles, CA, 90034, 64, $1445, 424-326-3399, https://www.apartments.com/3747-mentone-ave-los-angeles-ca-unit-4/gzl7qtx/
459, 9832 Yoakum Dr, 9832 Yoakum Dr, Beverly Hills, CA, 90210, 83, $5000, 844-457-8124, https://www.apartments.com/9832-yoakum-dr-beverly-hills-ca/x0tbm0n/
460, 122 S Wilton Pl, 122 S Wilton Pl, Los Angeles, CA, 90004, 70, $1350, 916-273-8404, https://www.apartments.com/122-s-wilton-pl-los-angeles-ca/y0rp8yt/
461, 1677 S Victoria Ave, 1677 S Victoria Ave, Los Angeles, CA, 90019, 70, $4900, 213-349-4539, https://www.apartments.com/1677-s-victoria-ave-los-angeles-ca/dxvg1bk/
462, 2426 Chislehurst Dr, 2426 Chislehurst Dr, Los Angeles, CA, 90027, 77, $1485, 844-309-1942, https://www.apartments.com/2426-chislehurst-dr-los-angeles-ca/zqgd2wy/
463, 1717 Purdue Ave, 1717 Purdue Ave, Los Angeles, CA, 90025, 65, $2400, 424-254-3830, https://www.apartments.com/1717-purdue-ave-los-angeles-ca/9jg4km4/
464, 11335 Burnham St, 11335 Burnham St, Los Angeles, CA, 90049, 64, $2500, 213-985-2281, https://www.apartments.com/11335-burnham-st-los-angeles-ca/6d9j5vs/
465, 1625 Livonia Ave, 1625 Livonia Ave, Los Angeles, CA, 90035, 73, $5500, 424-522-1913, https://www.apartments.com/1625-livonia-ave-los-angeles-ca/f45nndr/
466, 833 S Le Doux Rd Unit 3, 833 S Le Doux Rd Unit 3, Los Angeles, CA, 90035, 70, $2525, 323-471-4527, https://www.apartments.com/833-s-le-doux-rd-los-angeles-ca-unit-3/plelwcr/
467, 2360 W Washington Blvd Unit 2, 2360 W Washington Blvd Unit 2, Los Angeles, CA, 90018, 65, $1095, 844-328-6129, https://www.apartments.com/2360-w-washington-blvd-los-angeles-ca-unit-2/25cc7y9/
468, 1960 Benedict Canyon Dr, 1960 Benedict Canyon Dr, Beverly Hills, CA, 90210, 81, $11900, 747-226-5446, https://www.apartments.com/1960-benedict-canyon-dr-beverly-hills-ca/6bne2xt/
469, 7357 Pyramid Pl, 7357 Pyramid Pl, Los Angeles, CA, 90046, 77, $7000, 310-819-9566, https://www.apartments.com/7357-pyramid-pl-los-angeles-ca/5lvbmwn/
470, 1207 Shadybrook Dr, 1207 Shadybrook Dr, Beverly Hills, CA, 90210, 76, $7500, 424-442-1777, https://www.apartments.com/1207-shadybrook-dr-beverly-hills-ca/3j2l9rf/
471, 11686 Sunshine Ter, 11686 Sunshine Ter, Studio City, CA, 91604, 77, $5000, 424-204-8999, https://www.apartments.com/11686-sunshine-ter-studio-city-ca/klt6l7c/
472, 16103 Sandy Ln, 16103 Sandy Ln, Los Angeles, CA, 91436, 76, $8950, 424-204-8998, https://www.apartments.com/16103-sandy-ln-los-angeles-ca/d0csqpl/
473, 4904 S Van Ness Ave, 4904 S Van Ness Ave, Los Angeles, CA, 90062, 72, $1300, 424-320-5662, https://www.apartments.com/4904-s-van-ness-ave-los-angeles-ca/rx6zdb1/
474, 1441 Roxbury Dr, 1441 Roxbury Dr, Los Angeles, CA, 90035, 72, $4950, 310-975-3859, https://www.apartments.com/1441-roxbury-dr-los-angeles-ca/c3dm6de/
475, 11683 Goshen Ave Unit 306, 11683 Goshen Ave Unit 306, Los Angeles, CA, 90049, 70, $2245, 213-814-4699, https://www.apartments.com/11683-goshen-ave-los-angeles-ca-unit-306/713rgzx/
476, 11666 Mayfield Ave Unit 205, 11666 Mayfield Ave Unit 205, Los Angeles, CA, 90049, 71, $2395, 310-955-3982, https://www.apartments.com/11666-mayfield-ave-los-angeles-ca-unit-205/2tcbelb/
477, 1917 Overland Ave, 1917 Overland Ave, Los Angeles, CA, 90025, 68, $2500, 424-442-1733, https://www.apartments.com/1917-overland-ave-los-angeles-ca/ttswb49/
478, 3305 Stocker St Unit 1/2, 3305 Stocker St Unit 1/2, Los Angeles, CA, 90008, 70, $2695, 888-797-5123, https://www.apartments.com/3305-stocker-st-los-angeles-ca-unit-1-2/m42vt0l/
479, 3172 S Barrington Ave Unit 201, 3172 S Barrington Ave Unit 201, Los Angeles, CA, 90066, 71, $2595, 424-228-8994, https://www.apartments.com/3172-s-barrington-ave-los-angeles-ca-unit-201/5ltblkq/
480, 545 N Norton Ave, 545 N Norton Ave, Los Angeles, CA, 90004, 72, $3500, 844-586-1397, https://www.apartments.com/545-n-norton-ave-los-angeles-ca/qcdvw3z/
481, 1543 Roscomare Rd, 1543 Roscomare Rd, Los Angeles, CA, 90077, 79, $1875, 844-310-4667, https://www.apartments.com/1543-roscomare-rd-los-angeles-ca/8k9b4f2/
482, 1099 Vista Grande Dr, 1099 Vista Grande Dr, Los Angeles, CA, 90272, 85, $20000, 844-582-2242, https://www.apartments.com/1099-vista-grande-dr-los-angeles-ca/rj1z961/
483, 11420 Waterford St, 11420 Waterford St, Los Angeles, CA, 90049, 68, $6375, 855-481-1778, https://www.apartments.com/11420-waterford-st-los-angeles-ca/yc8wxns/
484, 2349 S Bentley Ave, 2349 S Bentley Ave, Los Angeles, CA, 90064, 63, $2900, 855-434-0018, https://www.apartments.com/2349-s-bentley-ave-los-angeles-ca/emwlgnm/
485, 17219 Avenida de la Herradura, 17219 Avenida de la Herradura, Los Angeles, CA, 90272, 80, $6999, 844-306-9561, https://www.apartments.com/17219-avenida-de-la-herradura-los-angeles-ca/jqtltt5/
486, 9386 Sierra Mar Dr, 9386 Sierra Mar Dr, Los Angeles, CA, 90069, 80, $8900, 310-819-3921, https://www.apartments.com/9386-sierra-mar-dr-los-angeles-ca/w81v7xk/
487, 6076 Cashio St Unit 6076, 6076 Cashio St Unit 6076, Los Angeles, CA, 90035, 69, $2900, 844-612-1185, https://www.apartments.com/6076-cashio-st-los-angeles-ca-unit-6076/8vwjvr1/
488, 1334 Goucher St, 1334 Goucher St, Pacific Palisades, CA, 90272, 78, $8450, 844-266-0247, https://www.apartments.com/1334-goucher-st-pacific-palisades-ca/1550fw4/
489, 2026 Veteran Ave, 2026 Veteran Ave, Los Angeles, CA, 90025, 67, $3995, 844-833-8849, https://www.apartments.com/2026-veteran-ave-los-angeles-ca/45md8kj/
490, 12153 Maxwellton Rd, 12153 Maxwellton Rd, Los Angeles, CA, 91604, 75, $4300, 844-517-9430, https://www.apartments.com/12153-maxwellton-rd-los-angeles-ca/xghwd7q/
491, 1440 N Alta Vista Blvd Unit 308, 1440 N Alta Vista Blvd Unit 308, West Hollywood, CA, 90046, 70, $4300, 844-836-5315, https://www.apartments.com/1440-n-alta-vista-blvd-west-hollywood-ca-unit-308/tfns12c/
492, 1818 Thayer Ave, 1818 Thayer Ave, Los Angeles, CA, 90025, 71, $7800, 844-895-3770, https://www.apartments.com/1818-thayer-ave-los-angeles-ca/45ths0j/
493, 1818 Thayer Ave, 1818 Thayer Ave, Los Angeles, CA, 90025, 71, $8200, 213-814-4823, https://www.apartments.com/1818-thayer-ave-los-angeles-ca/5rewzwq/
494, 1 W Century Dr Unit 32C, 1 W Century Dr Unit 32C, Los Angeles, CA, 90067, 70, $18500, 424-653-1227, https://www.apartments.com/1-w-century-dr-los-angeles-ca-unit-32c/wc2sgqj/
495, 4059 W 28th St, 4059 W 28th St, Los Angeles, CA, 90018, -, $1600, 424-320-3969, https://www.apartments.com/4059-w-28th-st-los-angeles-ca/f415bhv/
496, 3467 Red Rose Dr, 3467 Red Rose Dr, Los Angeles, CA, 91436, 75, $6300, 844-278-5718, https://www.apartments.com/3467-red-rose-dr-los-angeles-ca/dflvebj/
497, 966 Moraga Dr Unit ., 966 Moraga Dr Unit ., Los Angeles, CA, 90049, 72, $2995, 844-757-6706, https://www.apartments.com/966-moraga-dr-los-angeles-ca-unit/zle7jjw/
498, 3616 Roberts View Pl, 3616 Roberts View Pl, Los Angeles, CA, 91604, 78, $15000, 424-363-6812, https://www.apartments.com/3616-roberts-view-pl-los-angeles-ca/m86xhwk/
499, 1132 S Swall Dr, 1132 S Swall Dr, Los Angeles, CA, 90035, 68, $6900, 855-315-3011, https://www.apartments.com/1132-s-swall-dr-los-angeles-ca/e8f8m6q/
500, 1910 S Shenandoah St, 1910 S Shenandoah St, Los Angeles, CA, 90034, 73, $2400, 855-412-5083, https://www.apartments.com/1910-s-shenandoah-st-los-angeles-ca/gez26pz/
501, 12017 Goshen Ave Unit 1, 12017 Goshen Ave Unit 1, Los Angeles, CA, 90049, 69, $3295, 424-442-1752, https://www.apartments.com/12017-goshen-ave-los-angeles-ca-unit-1/kebp6qc/
502, 466 N Carmelina Ave, 466 N Carmelina Ave, Los Angeles, CA, 90049, 82, $11750, 818-581-4515, https://www.apartments.com/466-n-carmelina-ave-los-angeles-ca/kh5srcb/
503, 11771 Laurelwood Dr Unit 1, 11771 Laurelwood Dr Unit 1, Studio City, CA, 91604, 72, $2600, 213-805-8299, https://www.apartments.com/11771-laurelwood-dr-studio-city-ca-unit-1/5ml44xp/
504, 827 S Berendo St, 827 S Berendo St, Los Angeles, CA, 90005, 67, $1695, 213-805-8271, https://www.apartments.com/827-s-berendo-st-los-angeles-ca/n10zbvm/
505, 6427 Tahoe Dr, 6427 Tahoe Dr, Los Angeles, CA, 90068, 88, $7000, 213-267-9283, https://www.apartments.com/6427-tahoe-dr-los-angeles-ca/0110nz2/
506, 3319 Charleston Way, 3319 Charleston Way, Los Angeles, CA, 90068, 69, $12750, 323-472-9137, https://www.apartments.com/3319-charleston-way-los-angeles-ca/j5phz14/
507, 1343 N Catalina St Unit 102, 1343 N Catalina St Unit 102, Los Angeles, CA, 90027, 68, $1600, 844-283-7656, https://www.apartments.com/1343-n-catalina-st-los-angeles-ca-unit-102/l09h7pe/
508, 1351 N Orange Dr Unit 103, 1351 N Orange Dr Unit 103, Los Angeles, CA, 90028, 69, $2700, 844-228-3925, https://www.apartments.com/1351-n-orange-dr-los-angeles-ca-unit-103/cdfzt0f/
509, 10584 Santa Monica Blvd Unit 107, 10584 Santa Monica Blvd Unit 107, Los Angeles, CA, 90025, 68, $1900, 424-320-3918, https://www.apartments.com/10584-santa-monica-blvd-los-angeles-ca-unit-107/zcj9q6z/
510, 2519 S Orange Dr, 2519 S Orange Dr, Los Angeles, CA, 90016, 60, $3000, 855-517-4271, https://www.apartments.com/2519-s-orange-dr-los-angeles-ca/08e2463/
511, 167 N Gardner St, 167 N Gardner St, Los Angeles, CA, 90036, 72, $6800, 747-242-2197, https://www.apartments.com/167-n-gardner-st-los-angeles-ca/m6mzv8j/
512, 17045 Escalon Dr, 17045 Escalon Dr, Los Angeles, CA, 91436, 80, $4000, 747-202-2266, https://www.apartments.com/17045-escalon-dr-los-angeles-ca/6m9r95s/
513, 15440 Longbow Dr, 15440 Longbow Dr, Sherman Oaks, CA, 91403, 71, $5750, 844-435-3703, https://www.apartments.com/15440-longbow-dr-sherman-oaks-ca/yrrbd5t/
514, 3733 Avenida Del Sol, 3733 Avenida Del Sol, Los Angeles, CA, 91604, 79, $9500, 747-205-6037, https://www.apartments.com/3733-avenida-del-sol-los-angeles-ca/7lkejgz/
515, 4516 St Elmo Dr, 4516 St Elmo Dr, Los Angeles, CA, 90019, 70, $1600, 747-254-1747, https://www.apartments.com/4516-st-elmo-dr-los-angeles-ca/kslvg98/
516, 6620 W 5th St, 6620 W 5th St, West Hollywood, CA, 90048, 72, $25000, 747-254-1628, https://www.apartments.com/6620-w-5th-st-west-hollywood-ca/zsmf1zy/
517, 4702 W 17th St, 4702 W 17th St, Los Angeles, CA, 90019, 68, $2395, 747-254-0078, https://www.apartments.com/4702-w-17th-st-los-angeles-ca/pv33gsr/
518, 4702 W 17th St, 4702 W 17th St, Los Angeles, CA, 90019, 68, $2195, 877-926-8812, https://www.apartments.com/4702-w-17th-st-los-angeles-ca/br54wv9/
519, 4702 W 17th St, 4702 W 17th St, Los Angeles, CA, 90019, 68, $1595, 562-222-8608, https://www.apartments.com/4702-w-17th-st-los-angeles-ca/l24w64f/
520, 2821 West Blvd Unit 102, 2821 West Blvd Unit 102, Los Angeles, CA, 90016, 69, $1995, 844-362-9986, https://www.apartments.com/2821-west-blvd-los-angeles-ca-unit-102/sr8hwn5/
521, 1301 S Rimpau Blvd, 1301 S Rimpau Blvd, Los Angeles, CA, 90019, 71, $3750, 213-814-1673, https://www.apartments.com/1301-s-rimpau-blvd-los-angeles-ca/8gv61w3/
522, 1931 N Beverly Dr, 1931 N Beverly Dr, Beverly Hills, CA, 90210, 77, $9950, 424-255-1417, https://www.apartments.com/1931-n-beverly-dr-beverly-hills-ca/cdz6pbg/
523, 5315 Loma Linda Ave Unit 2, 5315 Loma Linda Ave Unit 2, Los Angeles, CA, 90027, 69, $2045, 844-497-8408, https://www.apartments.com/5315-loma-linda-ave-los-angeles-ca-unit-2/v7bs8qd/
524, 2012 Hillsboro Ave, 2012 Hillsboro Ave, Los Angeles, CA, 90034, 75, $6250, 855-304-9988, https://www.apartments.com/2012-hillsboro-ave-los-angeles-ca/vx10mmd/
525, 2160 Century Park W Unit 1509, 2160 Century Park W Unit 1509, Los Angeles, CA, 90067, 68, $6600, 424-316-5148, https://www.apartments.com/2160-century-park-w-los-angeles-ca-unit-1509/9rte6p6/
526, 11760 National Blvd Unit 0, 11760 National Blvd Unit 0, Los Angeles, CA, 90064, 66, $2595, 323-296-9040, https://www.apartments.com/11760-national-blvd-los-angeles-ca-unit-0/q8pqwey/
527, 638 N Swarthmore Ave, 638 N Swarthmore Ave, Los Angeles, CA, 90272, 79, $11000, 855-491-1251, https://www.apartments.com/638-n-swarthmore-ave-los-angeles-ca/46jxwek/
528, 5362 W Olympic Blvd, 5362 W Olympic Blvd, Los Angeles, CA, 90036, 65, $1500, 323-746-9084, https://www.apartments.com/5362-w-olympic-blvd-los-angeles-ca/cs8zyge/
529, 245 Main St Unit 214, 245 Main St Unit 214, Los Angeles, CA, 90291, 69, $6000, 941-462-3350, https://www.apartments.com/245-main-st-los-angeles-ca-unit-214/evxk1qm/
530, 1275 Westchester Pl Unit 1275, 1275 Westchester Pl Unit 1275, Los Angeles, CA, 90019, 66, $1425, 844-526-9432, https://www.apartments.com/1275-westchester-pl-los-angeles-ca-unit-1275/jt5syz6/
531, 1275 Westchester Pl, 1275 Westchester Pl, Los Angeles, CA, 90019, 66, $1425, 323-430-9606, https://www.apartments.com/1275-westchester-pl-los-angeles-ca/4jjl44h/
532, 1421 W 35th Pl Unit 2, 1421 W 35th Pl Unit 2, Los Angeles, CA, 90018, 67, $2400, 844-479-7693, https://www.apartments.com/1421-w-35th-pl-los-angeles-ca-unit-2/9tq3ck5/
533, 1207 S Serrano Ave, 1207 S Serrano Ave, Los Angeles, CA, 90006, 69, $2100, 844-852-7575, https://www.apartments.com/1207-s-serrano-ave-los-angeles-ca/wqx4qyj/
534, 4845 Saturn St Unit 6, 4845 Saturn St Unit 6, Los Angeles, CA, 90019, 67, $1649, 844-787-6865, https://www.apartments.com/4845-saturn-st-los-angeles-ca-unit-6/t0x7le9/
535, 355 S Bundy Dr, 355 S Bundy Dr, Los Angeles, CA, 90049, 70, $7950, 844-848-9558, https://www.apartments.com/355-s-bundy-dr-los-angeles-ca/5zh76qn/
536, 2208 Duxbury Cir, 2208 Duxbury Cir, Los Angeles, CA, 90034, 75, $7500, 310-504-2548, https://www.apartments.com/2208-duxbury-cir-los-angeles-ca/8877n22/
537, 8300 Kirkwood Dr, 8300 Kirkwood Dr, Los Angeles, CA, 90046, 76, $1600, 855-500-9648, https://www.apartments.com/8300-kirkwood-dr-los-angeles-ca/e7wsryn/
538, 10980 Wellworth Ave Unit S404, 10980 Wellworth Ave Unit S404, Los Angeles, CA, 90024, 67, $4020, 747-200-6587, https://www.apartments.com/10980-wellworth-ave-los-angeles-ca-unit-s404/2pjlr6c/
539, 2046 High Tower Dr, 2046 High Tower Dr, Los Angeles, CA, 90068, 70, $1875, 844-809-2389, https://www.apartments.com/2046-high-tower-dr-los-angeles-ca/0gytbq1/
540, 1417 S Westgate Ave Unit 104, 1417 S Westgate Ave Unit 104, Los Angeles, CA, 90025, 70, $1750, 844-711-5216, https://www.apartments.com/1417-s-westgate-ave-los-angeles-ca-unit-104/7pzssdx/
541, 7012 Willoughby Ave, 7012 Willoughby Ave, Los Angeles, CA, 90038, 70, $6417, 844-216-6905, https://www.apartments.com/7012-willoughby-ave-los-angeles-ca/gxkks8x/
542, 850 N Sycamore Ave, 850 N Sycamore Ave, Los Angeles, CA, 90038, 70, $6261, 747-248-0452, https://www.apartments.com/850-n-sycamore-ave-los-angeles-ca/t5lxj1c/
543, 2209 S Spaulding Ave Unit 1, 2209 S Spaulding Ave Unit 1, Los Angeles, CA, 90016, 68, $1900, 844-554-1338, https://www.apartments.com/2209-s-spaulding-ave-los-angeles-ca-unit-1/fz81rfs/
544, 10420 Quito Ln, 10420 Quito Ln, Los Angeles, CA, 90077, 74, $4995, 866-757-7385, https://www.apartments.com/10420-quito-ln-los-angeles-ca/mbvkk9l/
545, 11325 Elderwood St, 11325 Elderwood St, Los Angeles, CA, 90049, 66, $6200, 520-422-2606, https://www.apartments.com/11325-elderwood-st-los-angeles-ca/n65gnnp/
546, 3525 Alsace Ave, 3525 Alsace Ave, Los Angeles, CA, 90016, 73, $3500, 855-392-3842, https://www.apartments.com/3525-alsace-ave-los-angeles-ca/f8dp6pr/
547, 2660 Larmar Rd, 2660 Larmar Rd, Los Angeles, CA, 90068, 79, $13500, 844-486-1415, https://www.apartments.com/2660-larmar-rd-los-angeles-ca/ql1242z/
548, 605 Indiana Ave, 605 Indiana Ave, Los Angeles, CA, 90291, 71, $6150, 844-823-9674, https://www.apartments.com/605-indiana-ave-los-angeles-ca/5pl7shq/
549, 1912 7th Ave, 1912 7th Ave, Los Angeles, CA, 90018, 68, $2100, 844-536-2106, https://www.apartments.com/1912-7th-ave-los-angeles-ca/bnl065b/
550, 612 Milwood Ave, 612 Milwood Ave, Venice, CA, 90291, 68, $4500, 424-653-1176, https://www.apartments.com/612-milwood-ave-venice-ca/mxjtb3k/
551, 1919 W 36th St, 1919 W 36th St, Los Angeles, CA, 90018, 72, $2700, 855-323-8775, https://www.apartments.com/1919-w-36th-st-los-angeles-ca/5wlkebq/
552, 5330 Franklin Ave Unit 5, 5330 Franklin Ave Unit 5, Los Angeles, CA, 90027, 69, $1500, 844-802-7670, https://www.apartments.com/5330-franklin-ave-los-angeles-ca-unit-5/e8djs4m/
553, 800 S Ridgeley Dr, 800 S Ridgeley Dr, Los Angeles, CA, 90036, 70, $4800, 844-814-7402, https://www.apartments.com/800-s-ridgeley-dr-los-angeles-ca/v7qrp3g/
554, 1322 S Hudson Ave, 1322 S Hudson Ave, Los Angeles, CA, 90019, 71, $900, 657-387-9022, https://www.apartments.com/1322-s-hudson-ave-los-angeles-ca/mgfzslk/
555, 5019 August St Unit 08, 5019 August St Unit 08, Los Angeles, CA, 90008, 74, $1095, 844-700-5936, https://www.apartments.com/5019-august-st-los-angeles-ca-unit-08/dgbp38k/
556, 16561 Park Lane Dr, 16561 Park Lane Dr, Los Angeles, CA, 90049, 80, $9000, 844-804-2506, https://www.apartments.com/16561-park-lane-dr-los-angeles-ca/23ykbmb/
557, 15020 Encanto Dr, 15020 Encanto Dr, Sherman Oaks, CA, 91403, 78, $7900, 844-643-3247, https://www.apartments.com/15020-encanto-dr-sherman-oaks-ca/llg0hse/
558, 1926 N Alexandria Ave Unit 4, 1926 N Alexandria Ave Unit 4, Los Angeles, CA, 90027, 68, $2500, 844-267-9913, https://www.apartments.com/1926-n-alexandria-ave-los-angeles-ca-unit-4/cdqb1je/
559, 1601 Marlay Dr, 1601 Marlay Dr, Los Angeles, CA, 90069, 70, $5500, 747-226-4915, https://www.apartments.com/1601-marlay-dr-los-angeles-ca/0qej2v0/
560, 1749 N Edgemont St Unit 3, 1749 N Edgemont St Unit 3, Los Angeles, CA, 90027, 70, $1650, 844-540-5678, https://www.apartments.com/1749-n-edgemont-st-los-angeles-ca-unit-3/klm4y7c/
561, 8020 Zeus Dr, 8020 Zeus Dr, Los Angeles, CA, 90046, 78, $25000, 844-231-9674, https://www.apartments.com/8020-zeus-dr-los-angeles-ca/n4zw4xq/
562, 5665 W Jefferson Blvd Unit 15, 5665 W Jefferson Blvd Unit 15, Los Angeles, CA, 90016, 71, $1600, 424-442-1856, https://www.apartments.com/5665-w-jefferson-blvd-los-angeles-ca-unit-15/zsemyrx/
563, 1059 S Redondo Blvd, 1059 S Redondo Blvd, Los Angeles, CA, 90019, -, $3900, 844-869-9860, https://www.apartments.com/1059-s-redondo-blvd-los-angeles-ca/tcx6e2c/
564, 1256 3rd Ave Unit 1256, 1256 3rd Ave Unit 1256, Los Angeles, CA, 90019, 66, $2500, 626-788-5438, https://www.apartments.com/1256-3rd-ave-los-angeles-ca-unit-1256/t8d41p8/
565, 530 N Larchmont Blvd, 530 N Larchmont Blvd, Los Angeles, CA, 90004, 71, $5600, 844-280-6449, https://www.apartments.com/530-n-larchmont-blvd-los-angeles-ca/5gdxdem/
566, 3909 McLaughlin Ave, 3909 McLaughlin Ave, Los Angeles, CA, 90066, 70, $3795, 214-865-9922, https://www.apartments.com/3909-mclaughlin-ave-los-angeles-ca/jvx4ne7/
567, 4128 S Victoria Ave, 4128 S Victoria Ave, Los Angeles, CA, 90008, 67, $1900, 323-580-6356, https://www.apartments.com/4128-s-victoria-ave-los-angeles-ca/dpm6v6k/
568, 2451 Nichols Canyon Pl, 2451 Nichols Canyon Pl, Los Angeles, CA, 90046, 81, $2995, 310-683-0948, https://www.apartments.com/2451-nichols-canyon-pl-los-angeles-ca/gwvwhxx/
569, 4198 2nd Ave, 4198 2nd Ave, Los Angeles, CA, 90008, 69, $4995, 310-734-3439, https://www.apartments.com/4198-2nd-ave-los-angeles-ca/fbs1dvs/
570, 10501 Wilshire Blvd Unit 906A, 10501 Wilshire Blvd Unit 906A, Los Angeles, CA, 90024, 69, $3295, 213-785-1834, https://www.apartments.com/10501-wilshire-blvd-los-angeles-ca-unit-906a/mssxlhk/
571, 4449 S Centinela Ave, 4449 S Centinela Ave, Los Angeles, CA, 90066, 69, $1950, 424-254-1238, https://www.apartments.com/4449-s-centinela-ave-los-angeles-ca/h5hpy30/
572, 2405 Roscomare Rd Unit 12, 2405 Roscomare Rd Unit 12, Los Angeles, CA, 90077, 78, $1650, 424-272-8713, https://www.apartments.com/2405-roscomare-rd-los-angeles-ca-unit-12/yv2mfls/
573, 1349 Appleton Way, 1349 Appleton Way, Los Angeles, CA, 90291, 72, $4500, 424-442-1772, https://www.apartments.com/1349-appleton-way-los-angeles-ca/91wvwe4/
